time	V(vdc,COM)*I(RL)
0.000000000000000e+00	0.000000e+00
9.999999960041972e-12	0.000000e+00
1.999999992008394e-11	0.000000e+00
3.040753370934810e-06	3.337767e-17
5.040753370934809e-06	1.746657e-13
6.040753370934809e-06	1.155100e-11
7.040753370934809e-06	4.861791e-10
8.040753370934809e-06	8.006244e-09
9.040753370934809e-06	5.524017e-08
1.004075337093481e-05	2.032625e-07
1.104075337093481e-05	4.998318e-07
1.204075337093481e-05	9.625450e-07
1.504075337093481e-05	3.344892e-06
1.804075337093481e-05	7.072976e-06
2.104075337093481e-05	1.190719e-05
2.404075337093482e-05	1.761104e-05
2.804075337093482e-05	2.620109e-05
3.204075337093481e-05	3.551963e-05
3.704075337093480e-05	4.765103e-05
4.204075337093479e-05	5.981329e-05
4.804075337093477e-05	7.388344e-05
5.404075337093475e-05	8.692916e-05
6.004075337093474e-05	9.864592e-05
6.604075337093473e-05	1.088664e-04
7.104075337093471e-05	1.161899e-04
7.604075337093470e-05	1.224272e-04
8.104075337093468e-05	1.276042e-04
8.604075337093467e-05	1.317653e-04
9.104075337093466e-05	1.349675e-04
9.604075337093464e-05	1.372758e-04
1.000407533709346e-04	1.385258e-04
1.040407533709346e-04	1.392852e-04
1.080407533709346e-04	1.395910e-04
1.120407533709346e-04	1.394796e-04
1.160407533709346e-04	1.389869e-04
1.210407533709346e-04	1.378874e-04
1.270407533709346e-04	1.359434e-04
1.340407533709345e-04	1.329453e-04
1.410407533709345e-04	1.293044e-04
1.490407533709345e-04	1.245282e-04
1.590407533709345e-04	1.178896e-04
1.700407533709344e-04	1.100449e-04
1.830407533709344e-04	1.004394e-04
1.980407533709344e-04	8.936295e-05
2.160407533709343e-04	7.660085e-05
2.390407533709343e-04	6.172280e-05
2.710407533709349e-04	4.427822e-05
3.070407533709357e-04	2.919517e-05
3.380407533709365e-04	1.959951e-05
3.660407533709372e-04	1.316026e-05
3.920407533709378e-04	8.721546e-06
4.160407533709384e-04	5.692714e-06
4.380407533709389e-04	3.649295e-06
4.580407533709394e-04	2.289896e-06
4.760407533709399e-04	1.401625e-06
4.920407533709402e-04	8.344278e-07
5.060407533709405e-04	4.826951e-07
5.180407533709408e-04	2.723287e-07
5.270407533709410e-04	1.618227e-07
5.350407533709412e-04	9.279957e-08
5.410407533709414e-04	5.655639e-08
5.460407533709415e-04	3.502731e-08
5.510407533709416e-04	2.012121e-08
5.550407533709417e-04	1.210238e-08
5.580407533709418e-04	7.914948e-09
5.610407533709419e-04	4.969630e-09
5.640407533709419e-04	2.988172e-09
5.670407533709420e-04	1.718113e-09
5.700407533709421e-04	9.444414e-10
5.730407533709422e-04	4.968956e-10
5.760407533709422e-04	2.507840e-10
5.800407533709423e-04	9.496006e-11
5.850407533709424e-04	2.592148e-11
5.910407533709426e-04	4.910996e-12
6.010407533709428e-04	2.486636e-13
6.160407533709432e-04	1.896450e-15
6.300407533709435e-04	1.393314e-17
6.430407533709439e-04	1.101524e-19
6.550407533709442e-04	9.991836e-22
6.640407533709444e-04	0.000000e+00
6.670407533709444e-04	0.000000e+00
6.750407533709446e-04	0.000000e+00
6.960407533709451e-04	9.125584e-19
7.170407533709457e-04	3.307287e-15
7.320407533709460e-04	8.690557e-13
7.380407533709462e-04	7.301038e-12
7.420407533709463e-04	2.869428e-11
7.450407533709463e-04	7.719327e-11
7.480407533709464e-04	1.991367e-10
7.510407533709465e-04	4.870133e-10
7.530407533709465e-04	8.530488e-10
7.550407533709466e-04	1.446536e-09
7.570407533709466e-04	2.368607e-09
7.590407533709467e-04	3.739193e-09
7.620407533709468e-04	6.920197e-09
7.650407533709468e-04	1.181929e-08
7.690407533709469e-04	2.154899e-08
7.800407533709472e-04	6.750806e-08
7.870407533709474e-04	1.071182e-07
7.930407533709475e-04	1.430278e-07
7.990407533709477e-04	1.775826e-07
8.060407533709478e-04	2.130538e-07
8.130407533709480e-04	2.409213e-07
8.200407533709482e-04	2.598537e-07
8.280407533709484e-04	2.701693e-07
8.370407533709486e-04	2.682434e-07
8.460407533709488e-04	2.541499e-07
8.560407533709490e-04	2.277458e-07
8.670407533709493e-04	1.905229e-07
8.800407533709496e-04	1.424516e-07
8.990407533709501e-04	7.790262e-08
9.190407533709506e-04	3.028385e-08
9.290407533709508e-04	1.591408e-08
9.370407533709510e-04	8.511569e-09
9.430407533709512e-04	4.926471e-09
9.490407533709513e-04	2.645374e-09
9.540407533709514e-04	1.481469e-09
9.590407533709515e-04	7.828941e-10
9.640407533709517e-04	3.903905e-10
9.700407533709518e-04	1.572690e-10
9.770407533709520e-04	4.950008e-11
9.850407533709513e-04	1.180507e-11
9.970407533709503e-04	1.135960e-12
1.005040753370950e-03	2.142834e-13
1.026040753370948e-03	1.952005e-15
1.049040753370946e-03	7.759697e-18
1.072040753370944e-03	2.569467e-20
1.091040753370942e-03	1.166016e-22
1.100040753370942e-03	0.000000e+00
1.104040753370941e-03	0.000000e+00
1.107040753370941e-03	0.000000e+00
1.113040753370941e-03	2.141208e-23
1.121040753370940e-03	3.762020e-22
1.131040753370939e-03	4.155492e-21
1.142040753370938e-03	3.694341e-20
1.153040753370937e-03	3.263716e-19
1.165040753370936e-03	2.838967e-18
1.177040753370935e-03	1.848751e-17
1.190040753370934e-03	1.091553e-16
1.203040753370933e-03	4.659915e-16
1.216040753370932e-03	1.432642e-15
1.229040753370931e-03	3.116434e-15
1.242040753370930e-03	4.758464e-15
1.255040753370929e-03	5.050780e-15
1.268040753370928e-03	3.729108e-15
1.281040753370926e-03	1.916863e-15
1.294040753370925e-03	6.914433e-16
1.307040753370924e-03	1.773224e-16
1.320040753370923e-03	3.251509e-17
1.332040753370922e-03	5.246274e-18
1.344040753370921e-03	6.390510e-19
1.355040753370920e-03	7.743903e-20
1.365040753370919e-03	8.808151e-21
1.374040753370919e-03	7.342645e-22
1.382040753370918e-03	1.090565e-22
1.388040753370917e-03	1.407959e-23
1.393040753370917e-03	0.000000e+00
1.395040753370917e-03	0.000000e+00
1.398040753370917e-03	0.000000e+00
1.404040753370916e-03	0.000000e+00
1.415040753370915e-03	1.588999e-21
1.438040753370913e-03	6.406272e-19
1.461040753370911e-03	2.726982e-16
1.484040753370909e-03	9.462066e-14
1.499040753370908e-03	3.419275e-12
1.507040753370907e-03	2.059536e-11
1.513040753370907e-03	7.327432e-11
1.518040753370906e-03	1.974273e-10
1.522040753370906e-03	4.137175e-10
1.526040753370906e-03	8.210004e-10
1.530040753370905e-03	1.534534e-09
1.535040753370905e-03	3.068901e-09
1.541040753370905e-03	6.193495e-09
1.556040753370903e-03	2.098640e-08
1.565040753370903e-03	3.303591e-08
1.573040753370902e-03	4.368728e-08
1.581040753370901e-03	5.279834e-08
1.589040753370900e-03	5.936618e-08
1.597040753370900e-03	6.287989e-08
1.606040753370899e-03	6.311652e-08
1.615040753370898e-03	5.983701e-08
1.625040753370897e-03	5.301373e-08
1.636040753370897e-03	4.313509e-08
1.650040753370895e-03	2.957001e-08
1.677040753370893e-03	9.210608e-09
1.688040753370892e-03	4.625045e-09
1.697040753370891e-03	2.344223e-09
1.705040753370891e-03	1.162577e-09
1.712040753370890e-03	5.815363e-10
1.720040753370889e-03	2.405536e-10
1.728040753370889e-03	9.058575e-11
1.738040753370888e-03	2.365638e-11
1.751040753370887e-03	3.460661e-12
1.773040753370885e-03	9.352632e-14
1.798040753370883e-03	1.066399e-15
1.823040753370881e-03	1.016927e-17
1.848040753370879e-03	9.431419e-20
1.865040753370877e-03	4.463317e-21
1.877040753370876e-03	4.519473e-22
1.886040753370876e-03	7.826264e-23
1.893040753370875e-03	1.273834e-23
1.898040753370875e-03	1.781206e-24
1.901040753370874e-03	0.000000e+00
1.903040753370874e-03	0.000000e+00
1.904040753370874e-03	0.000000e+00
1.906040753370874e-03	0.000000e+00
1.909040753370874e-03	0.000000e+00
1.913040753370873e-03	0.000000e+00
1.918040753370873e-03	0.000000e+00
1.924040753370872e-03	0.000000e+00
1.930040753370872e-03	1.227971e-22
1.937040753370871e-03	4.091325e-22
1.945040753370871e-03	9.859833e-22
1.953040753370870e-03	9.703034e-22
1.961040753370871e-03	2.673525e-21
1.970040753370872e-03	5.344423e-21
1.979040753370873e-03	8.830248e-21
1.988040753370874e-03	1.274687e-20
1.997040753370876e-03	1.373089e-20
2.006040753370877e-03	1.379968e-20
2.015040753370878e-03	1.293752e-20
2.024040753370879e-03	9.047157e-21
2.029040753370880e-03	8.142314e-21
2.038040753370881e-03	4.774334e-21
2.046040753370882e-03	2.399931e-21
2.054040753370883e-03	1.695412e-21
2.062040753370884e-03	5.552212e-22
2.069040753370885e-03	1.771712e-22
2.076040753370886e-03	1.017605e-22
2.082040753370887e-03	2.762529e-23
2.087040753370887e-03	0.000000e+00
2.091040753370888e-03	0.000000e+00
2.095040753370889e-03	0.000000e+00
2.098040753370889e-03	2.750935e-26
2.099040753370889e-03	0.000000e+00
2.101040753370889e-03	3.900346e-26
2.104040753370890e-03	0.000000e+00
2.108040753370890e-03	0.000000e+00
2.114040753370891e-03	0.000000e+00
2.121040753370892e-03	1.319508e-22
2.131040753370893e-03	1.582417e-21
2.144040753370895e-03	1.424813e-20
2.162040753370897e-03	4.881708e-19
2.187040753370901e-03	6.717265e-17
2.212040753370904e-03	9.735092e-15
2.237040753370907e-03	1.177697e-12
2.249040753370909e-03	1.017989e-11
2.258040753370910e-03	4.637079e-11
2.265040753370911e-03	1.389169e-10
2.271040753370912e-03	3.311218e-10
2.277040753370913e-03	7.301262e-10
2.283040753370913e-03	1.476838e-09
2.290040753370914e-03	2.997156e-09
2.302040753370916e-03	7.661992e-09
2.316040753370918e-03	1.582517e-08
2.325040753370919e-03	2.144558e-08
2.334040753370920e-03	2.633990e-08
2.343040753370921e-03	2.984843e-08
2.352040753370923e-03	3.161326e-08
2.362040753370924e-03	3.146751e-08
2.372040753370925e-03	2.936744e-08
2.383040753370927e-03	2.539525e-08
2.396040753370928e-03	1.951125e-08
2.416040753370931e-03	1.059098e-08
2.437040753370934e-03	4.077106e-09
2.449040753370935e-03	1.988256e-09
2.459040753370937e-03	9.805148e-10
2.469040753370938e-03	4.359865e-10
2.479040753370939e-03	1.748058e-10
2.490040753370941e-03	5.709728e-11
2.503040753370943e-03	1.325951e-11
2.521040753370945e-03	1.433630e-12
2.549040753370949e-03	3.259969e-14
2.576040753370952e-03	7.116476e-16
2.603040753370956e-03	1.609335e-17
2.626040753370959e-03	7.823283e-19
2.643040753370961e-03	9.408756e-20
2.657040753370963e-03	1.954491e-20
2.669040753370965e-03	5.167569e-21
2.680040753370966e-03	9.976407e-22
2.690040753370967e-03	6.264699e-22
2.699040753370969e-03	2.115855e-22
2.707040753370970e-03	1.528563e-22
2.714040753370971e-03	1.175415e-22
2.721040753370972e-03	9.268888e-23
2.728040753370973e-03	0.000000e+00
2.734040753370973e-03	0.000000e+00
2.740040753370974e-03	2.913245e-23
2.746040753370975e-03	2.705539e-23
2.752040753370976e-03	0.000000e+00
2.758040753370977e-03	0.000000e+00
2.764040753370977e-03	2.795898e-23
2.770040753370978e-03	0.000000e+00
2.776040753370979e-03	7.002809e-23
2.782040753370980e-03	8.235379e-23
2.789040753370981e-03	1.028582e-22
2.796040753370982e-03	2.645105e-22
2.804040753370983e-03	3.627395e-22
2.812040753370984e-03	5.100601e-22
2.821040753370985e-03	7.681432e-22
2.831040753370986e-03	2.495648e-21
2.842040753370988e-03	8.829098e-21
2.855040753370989e-03	3.645323e-20
2.870040753370991e-03	2.253022e-19
2.888040753370994e-03	2.340582e-18
2.913040753370997e-03	8.283422e-17
2.940040753371001e-03	4.660016e-15
2.967040753371004e-03	2.670566e-13
2.988040753371007e-03	5.429106e-12
3.001040753371009e-03	3.079159e-11
3.011040753371010e-03	1.054997e-10
3.020040753371011e-03	2.889162e-10
3.029040753371012e-03	7.055610e-10
3.039040753371014e-03	1.638874e-09
3.053040753371016e-03	4.079672e-09
3.069040753371018e-03	8.212793e-09
3.080040753371019e-03	1.116822e-08
3.091040753371021e-03	1.354940e-08
3.101040753371022e-03	1.486014e-08
3.112040753371023e-03	1.519827e-08
3.123040753371025e-03	1.443773e-08
3.136040753371027e-03	1.244739e-08
3.151040753371029e-03	9.361442e-09
3.184040753371033e-03	3.189166e-09
3.201040753371035e-03	1.395079e-09
3.215040753371037e-03	6.045023e-10
3.228040753371039e-03	2.443870e-10
3.241040753371041e-03	8.761248e-11
3.256040753371043e-03	2.342791e-11
3.275040753371045e-03	3.710006e-12
3.306040753371049e-03	1.393996e-13
3.336040753371053e-03	5.167109e-15
3.366040753371057e-03	2.122124e-16
3.392040753371061e-03	1.714251e-17
3.413040753371063e-03	2.878685e-18
3.431040753371066e-03	7.935121e-19
3.447040753371068e-03	3.113024e-19
3.462040753371070e-03	1.643298e-19
3.476040753371072e-03	9.348590e-20
3.490040753371074e-03	6.201643e-20
3.503040753371075e-03	6.465359e-20
3.516040753371077e-03	6.650245e-20
3.529040753371079e-03	8.770873e-20
3.543040753371081e-03	1.245252e-19
3.557040753371083e-03	2.456492e-19
3.572040753371085e-03	5.052633e-19
3.589040753371087e-03	1.555120e-18
3.608040753371089e-03	7.449703e-18
3.631040753371092e-03	6.304776e-17
3.661040753371096e-03	1.494744e-15
3.691040753371100e-03	4.405530e-14
3.720040753371104e-03	1.170122e-12
3.741040753371107e-03	1.107549e-11
3.756040753371109e-03	4.832960e-11
3.769040753371111e-03	1.523221e-10
3.782040753371112e-03	4.132578e-10
3.798040753371115e-03	1.116713e-09
3.823040753371118e-03	3.130732e-09
3.837040753371120e-03	4.353257e-09
3.850040753371121e-03	5.171658e-09
3.863040753371123e-03	5.489588e-09
3.876040753371125e-03	5.267670e-09
3.891040753371127e-03	4.473095e-09
3.910040753371129e-03	3.063620e-09
3.944040753371134e-03	9.551478e-10
3.963040753371136e-03	3.735296e-10
3.980040753371139e-03	1.351519e-10
3.998040753371141e-03	3.887847e-11
4.019040753371144e-03	7.535149e-12
4.050040753371148e-03	5.166877e-13
4.077040753371152e-03	4.461697e-14
4.103040753371155e-03	4.331468e-15
4.128040753371158e-03	5.249335e-16
4.155040753371162e-03	6.943267e-17
4.178040753371165e-03	1.640693e-17
4.198040753371168e-03	6.028143e-18
4.217040753371170e-03	3.026715e-18
4.235040753371173e-03	1.989675e-18
4.252040753371175e-03	1.643471e-18
4.269040753371177e-03	1.747875e-18
4.287040753371179e-03	2.313894e-18
4.305040753371182e-03	3.966836e-18
4.324040753371184e-03	9.063345e-18
4.345040753371187e-03	2.889268e-17
4.370040753371190e-03	1.585907e-16
4.401040753371195e-03	1.902280e-15
4.433040753371199e-03	3.189880e-14
4.465040753371203e-03	5.651675e-13
4.496040753371207e-03	7.746106e-12
4.519040753371210e-03	4.240004e-11
4.541040753371213e-03	1.616107e-10
4.570040753371217e-03	5.588956e-10
4.592040753371220e-03	9.515935e-10
4.610040753371222e-03	1.151843e-09
4.627040753371225e-03	1.145963e-09
4.646040753371227e-03	9.329788e-10
