time	V(vdc,COM)*I(RL)
0.000000000000000e+00	0.000000e+00
9.999999960041972e-12	0.000000e+00
1.999999992008394e-11	0.000000e+00
9.040753370875898e-06	5.975015e-14
1.004075337087590e-05	6.598453e-13
1.104075337087590e-05	7.100706e-12
1.204075337087590e-05	7.084064e-11
1.304075337087590e-05	5.908537e-10
1.404075337087590e-05	3.648159e-09
1.504075337087590e-05	1.575352e-08
1.604075337087590e-05	4.879034e-08
1.704075337087590e-05	1.160605e-07
1.804075337087590e-05	2.278294e-07
1.904075337087590e-05	3.906776e-07
2.004075337087590e-05	6.087773e-07
2.204075337087591e-05	1.218533e-06
2.704075337087591e-05	3.772431e-06
3.604075337087590e-05	1.188338e-05
4.504075337087587e-05	2.392062e-05
5.504075337087584e-05	4.100958e-05
6.704075337087581e-05	6.542417e-05
8.004075337087577e-05	9.518285e-05
9.504075337087573e-05	1.319699e-04
1.120407533708757e-04	1.747436e-04
1.310407533708756e-04	2.216866e-04
1.510407533708756e-04	2.681727e-04
1.710407533708755e-04	3.103038e-04
1.900407533708755e-04	3.455735e-04
2.090407533708754e-04	3.758921e-04
2.270407533708754e-04	3.999959e-04
2.450407533708753e-04	4.197079e-04
2.620407533708757e-04	4.344727e-04
2.780407533708761e-04	4.451531e-04
2.940407533708765e-04	4.529320e-04
3.090407533708769e-04	4.577906e-04
3.230407533708772e-04	4.603729e-04
3.360407533708775e-04	4.612221e-04
3.500407533708779e-04	4.606131e-04
3.660407533708783e-04	4.581685e-04
3.840407533708787e-04	4.534428e-04
4.050407533708792e-04	4.456509e-04
4.290407533708798e-04	4.342492e-04
4.560407533708804e-04	4.189020e-04
4.870407533708812e-04	3.988480e-04
5.220407533708820e-04	3.741278e-04
5.630407533708830e-04	3.436700e-04
6.110407533708842e-04	3.075226e-04
6.690407533708856e-04	2.650013e-04
7.420407533708874e-04	2.154296e-04
8.420407533708898e-04	1.569779e-04
9.710407533708930e-04	9.854410e-05
1.005040753370891e-03	8.611922e-05
1.111040753370882e-03	5.437153e-05
1.206040753370874e-03	3.371427e-05
1.292040753370867e-03	2.023651e-05
1.369040753370860e-03	1.164847e-05
1.437040753370854e-03	6.347528e-06
1.494040753370850e-03	3.303850e-06
1.540040753370846e-03	1.651210e-06
1.575040753370843e-03	8.164048e-07
1.600040753370841e-03	4.193982e-07
1.619040753370839e-03	2.171778e-07
1.633040753370838e-03	1.172436e-07
1.643040753370837e-03	6.834660e-08
1.651040753370836e-03	4.096526e-08
1.658040753370836e-03	2.431692e-08
1.664040753370835e-03	1.456324e-08
1.669040753370835e-03	9.010131e-09
1.674040753370834e-03	5.288157e-09
1.679040753370834e-03	2.935953e-09
1.684040753370834e-03	1.540825e-09
1.689040753370833e-03	7.656896e-10
1.694040753370833e-03	3.616875e-10
1.699040753370832e-03	1.632576e-10
1.705040753370832e-03	5.966908e-11
1.713040753370831e-03	1.448588e-11
1.724040753370830e-03	1.851123e-12
1.746040753370828e-03	2.224743e-14
1.769040753370826e-03	1.491646e-16
1.789040753370825e-03	1.405586e-18
1.806040753370823e-03	2.037442e-20
1.819040753370822e-03	2.700922e-22
1.829040753370821e-03	0.000000e+00
1.834040753370821e-03	0.000000e+00
1.836040753370821e-03	0.000000e+00
1.841040753370820e-03	0.000000e+00
1.850040753370820e-03	1.885203e-22
1.864040753370818e-03	2.451834e-20
1.884040753370817e-03	7.579731e-18
1.911040753370814e-03	2.561011e-14
1.925040753370813e-03	1.924022e-12
1.931040753370813e-03	1.230898e-11
1.935040753370812e-03	4.191736e-11
1.938040753370812e-03	1.035270e-10
1.941040753370812e-03	2.502202e-10
1.944040753370812e-03	5.856953e-10
1.946040753370811e-03	1.008399e-09
1.948040753370811e-03	1.696640e-09
1.950040753370811e-03	2.780922e-09
1.952040753370811e-03	4.429752e-09
1.954040753370811e-03	6.847165e-09
1.956040753370811e-03	1.026508e-08
1.959040753370811e-03	1.781278e-08
1.962040753370812e-03	2.901343e-08
1.965040753370812e-03	4.464519e-08
1.969040753370813e-03	7.350333e-08
1.975040753370814e-03	1.362082e-07
1.985040753370815e-03	2.970947e-07
2.010040753370818e-03	9.997057e-07
2.029040753370821e-03	1.769736e-06
2.050040753370824e-03	2.783431e-06
2.073040753370827e-03	4.011840e-06
2.099040753370830e-03	5.463580e-06
2.128040753370834e-03	7.076215e-06
2.161040753370838e-03	8.823192e-06
2.199040753370843e-03	1.065396e-05
2.239040753370849e-03	1.233999e-05
2.282040753370854e-03	1.387854e-05
2.329040753370861e-03	1.526750e-05
2.382040753370868e-03	1.652809e-05
2.443040753370876e-03	1.767041e-05
2.516040753370885e-03	1.873552e-05
2.608040753370898e-03	1.979872e-05
2.739040753370915e-03	2.108607e-05
3.047040753370956e-03	2.420774e-05
3.053040753370957e-03	2.427494e-05
3.427040753371006e-03	2.894371e-05
3.802040753371056e-03	3.408323e-05
4.077040753371093e-03	3.764008e-05
4.452040753371142e-03	4.154410e-05
4.800040753371189e-03	4.365503e-05
5.101040753371229e-03	4.401162e-05
5.426040753371272e-03	4.273088e-05
5.745040753371314e-03	3.981512e-05
6.058040753371356e-03	3.552505e-05
6.125040753371364e-03	3.444894e-05
6.432040753371405e-03	2.896240e-05
6.733040753371445e-03	2.299163e-05
7.027040753371484e-03	1.701737e-05
7.149040753371500e-03	1.460222e-05
7.432040753371538e-03	9.382061e-06
7.708040753371575e-03	5.110816e-06
7.994040753371455e-03	1.904636e-06
8.173040753371323e-03	6.691434e-07
8.279040753371245e-03	2.432756e-07
8.334040753371205e-03	1.116546e-07
8.370040753371178e-03	5.647308e-08
8.396040753371159e-03	3.032049e-08
8.416040753371145e-03	1.697615e-08
8.433040753371132e-03	9.494491e-09
8.448040753371121e-03	5.248028e-09
8.462040753371111e-03	2.794583e-09
8.475040753371101e-03	1.448660e-09
8.488040753371092e-03	6.989412e-10
8.501040753371082e-03	3.139250e-10
8.515040753371072e-03	1.227435e-10
8.531040753371060e-03	3.830308e-11
8.552040753371045e-03	7.263127e-12
8.584040753371021e-03	4.447812e-13
8.626040753370990e-03	7.461683e-15
8.665040753370962e-03	1.132013e-16
8.701040753370935e-03	1.669443e-18
8.732040753370912e-03	3.569658e-20
8.758040753370893e-03	1.445935e-21
8.778040753370879e-03	0.000000e+00
8.791040753370869e-03	0.000000e+00
8.796040753370865e-03	0.000000e+00
8.807040753370857e-03	0.000000e+00
8.828040753370842e-03	6.317349e-22
8.861040753370818e-03	1.231919e-19
8.913040753370780e-03	2.894899e-16
8.963040753370743e-03	5.952389e-13
8.979040753370731e-03	6.857742e-12
8.989040753370724e-03	3.095312e-11
8.997040753370718e-03	1.005958e-10
9.003040753370713e-03	2.370670e-10
9.009040753370709e-03	5.402810e-10
9.014040753370705e-03	1.038111e-09
9.019040753370702e-03	1.922447e-09
9.024040753370698e-03	3.413935e-09
9.029040753370694e-03	5.794638e-09
9.034040753370691e-03	9.390206e-09
9.040040753370686e-03	1.578647e-08
9.047040753370681e-03	2.680508e-08
9.057040753370674e-03	5.044821e-08
9.073040753370662e-03	1.097139e-07
9.107040753370637e-03	3.161994e-07
9.131040753370619e-03	5.074315e-07
9.155040753370602e-03	7.154186e-07
9.181040753370583e-03	9.423767e-07
9.197040753370571e-03	1.077031e-06
9.227040753370549e-03	1.310663e-06
9.261040753370524e-03	1.537724e-06
9.300040753370495e-03	1.744599e-06
9.346040753370461e-03	1.919611e-06
9.400040753370422e-03	2.047027e-06
9.462040753370376e-03	2.120422e-06
9.537040753370321e-03	2.151519e-06
9.634040753370250e-03	2.165341e-06
9.768040753370151e-03	2.231851e-06
9.882040753370068e-03	2.382846e-06
9.996040753369984e-03	2.645790e-06
1.011804075336989e-02	3.067782e-06
1.022104075336982e-02	3.547245e-06
1.037604075336970e-02	4.496461e-06
1.057204075336956e-02	6.107549e-06
1.086904075336934e-02	9.424110e-06
1.124404075336907e-02	1.493950e-05
1.124504075336907e-02	1.495582e-05
1.162004075336879e-02	2.146779e-05
1.198804075336852e-02	2.812499e-05
1.226904075336831e-02	3.291062e-05
1.260004075336807e-02	3.772733e-05
1.292404075336783e-02	4.116010e-05
1.324404075336760e-02	4.298219e-05
1.329304075336756e-02	4.310990e-05
1.360904075336733e-02	4.292696e-05
1.392204075336710e-02	4.103697e-05
1.423204075336687e-02	3.760755e-05
1.431704075336681e-02	3.642591e-05
1.462304075336658e-02	3.146048e-05
1.492404075336636e-02	2.576989e-05
1.522004075336615e-02	1.980359e-05
1.534104075336606e-02	1.736161e-05
1.562704075336585e-02	1.182588e-05
1.590504075336613e-02	7.083095e-06
1.617904075336640e-02	3.385194e-06
1.636504075336659e-02	1.588631e-06
1.655504075336678e-02	4.436816e-07
1.663504075336686e-02	1.810951e-07
1.668104075336690e-02	8.750615e-08
1.671304075336694e-02	4.521082e-08
1.673704075336696e-02	2.438453e-08
1.675604075336698e-02	1.354463e-08
1.677204075336700e-02	7.587657e-09
1.678604075336701e-02	4.244551e-09
1.679904075336702e-02	2.310970e-09
1.681204075336704e-02	1.172802e-09
1.682504075336705e-02	5.538588e-10
1.683804075336706e-02	2.436332e-10
1.685304075336708e-02	8.683401e-11
1.687004075336709e-02	2.438715e-11
1.689304075336712e-02	3.753024e-12
1.693204075336716e-02	1.101666e-13
1.697304075336720e-02	1.751865e-15
1.701104075336723e-02	2.607152e-17
1.704504075336727e-02	4.787781e-19
1.707504075336730e-02	9.273261e-21
1.709904075336732e-02	1.890316e-22
1.711604075336734e-02	0.000000e+00
1.712604075336735e-02	0.000000e+00
1.713104075336735e-02	2.532921e-25
1.714404075336737e-02	2.645806e-23
1.716704075336739e-02	2.055592e-21
1.720304075336743e-02	4.747814e-19
1.726104075336748e-02	2.742850e-15
1.729904075336752e-02	9.148883e-13
1.731404075336754e-02	9.014389e-12
1.732404075336755e-02	4.046439e-11
1.733104075336755e-02	1.129373e-10
1.733704075336756e-02	2.650780e-10
1.734204075336757e-02	5.257528e-10
1.734704075336757e-02	1.011456e-09
1.735204075336758e-02	1.875871e-09
1.735704075336758e-02	3.336828e-09
1.736204075336759e-02	5.673915e-09
1.736704075336759e-02	9.211281e-09
1.737304075336760e-02	1.551826e-08
1.738004075336760e-02	2.640867e-08
1.738904075336761e-02	4.704359e-08
1.740404075336763e-02	9.990307e-08
1.744004075336766e-02	3.145103e-07
1.746404075336769e-02	5.054180e-07
1.748804075336771e-02	7.132189e-07
1.751404075336774e-02	9.400989e-07
1.754204075336777e-02	1.171555e-06
1.757404075336780e-02	1.407187e-06
1.761004075336783e-02	1.627484e-06
1.765204075336788e-02	1.823550e-06
1.770204075336793e-02	1.981265e-06
1.775904075336798e-02	2.083913e-06
1.782604075336805e-02	2.137010e-06
1.790904075336813e-02	2.155923e-06
1.802304075336825e-02	2.180482e-06
1.814504075336837e-02	2.276473e-06
1.825804075336848e-02	2.466168e-06
1.837404075336860e-02	2.781650e-06
1.841304075336864e-02	2.917675e-06
1.854404075336877e-02	3.492908e-06
1.869704075336892e-02	4.409738e-06
1.888904075336911e-02	5.954747e-06
1.917304075336940e-02	9.050821e-06
1.943704075336966e-02	1.272521e-05
1.981204075337004e-02	1.893931e-05
2.018704075337041e-02	2.571231e-05
2.046104075337069e-02	3.056117e-05
2.079704075337102e-02	3.587963e-05
2.112404075337135e-02	3.992511e-05
2.144504075337167e-02	4.243276e-05
2.148504075337171e-02	4.262993e-05
2.180304075337203e-02	4.322350e-05
2.211804075337234e-02	4.207094e-05
2.243004075337265e-02	3.928240e-05
2.250904075337273e-02	3.833655e-05
2.281704075337304e-02	3.384763e-05
2.312104075337335e-02	2.842071e-05
2.341904075337364e-02	2.252878e-05
2.353304075337376e-02	2.021610e-05
2.382204075337405e-02	1.444549e-05
2.410404075337433e-02	9.272022e-06
2.437904075337460e-02	5.042494e-06
2.455704075337478e-02	2.896496e-06
2.481004075337503e-02	8.273900e-07
2.493504075337516e-02	2.747661e-07
2.499404075337522e-02	1.239083e-07
2.502204075337525e-02	7.574956e-08
2.505204075337528e-02	3.950535e-08
2.507404075337530e-02	2.193410e-08
2.509204075337532e-02	1.236870e-08
2.510804075337533e-02	6.831003e-09
2.512204075337535e-02	3.767776e-09
2.513504075337536e-02	2.022551e-09
2.514804075337537e-02	1.011438e-09
2.516104075337539e-02	4.706715e-10
2.517504075337540e-02	1.908680e-10
2.519004075337541e-02	6.660763e-11
2.520804075337543e-02	1.691219e-11
2.523304075337546e-02	2.116536e-12
2.527504075337550e-02	4.313091e-14
2.531504075337554e-02	6.933085e-16
2.535204075337558e-02	1.083729e-17
2.538504075337561e-02	1.898643e-19
2.541404075337564e-02	4.699797e-21
2.543704075337566e-02	0.000000e+00
2.545304075337568e-02	0.000000e+00
2.546104075337569e-02	0.000000e+00
2.546904075337569e-02	0.000000e+00
2.548604075337571e-02	0.000000e+00
2.551404075337574e-02	1.491749e-20
2.555804075337578e-02	1.144729e-17
2.558104075337581e-02	3.623982e-16
2.563004075337585e-02	6.400288e-13
2.564604075337587e-02	7.364047e-12
2.565604075337588e-02	3.318742e-11
2.566404075337589e-02	1.076203e-10
2.567004075337589e-02	2.530122e-10
2.567604075337590e-02	5.747738e-10
2.568104075337591e-02	1.100746e-09
2.568604075337591e-02	2.030679e-09
2.569104075337592e-02	3.591087e-09
2.569604075337592e-02	6.068822e-09
2.570204075337593e-02	1.071607e-08
2.570804075337593e-02	1.773987e-08
2.571604075337594e-02	3.170175e-08
2.572704075337595e-02	6.096254e-08
2.575104075337598e-02	1.681020e-07
2.577804075337600e-02	3.494727e-07
2.580104075337603e-02	5.364924e-07
2.582504075337605e-02	7.454495e-07
2.585104075337608e-02	9.714320e-07
2.588004075337610e-02	1.208057e-06
2.591204075337614e-02	1.438506e-06
2.594904075337617e-02	1.657689e-06
2.599204075337622e-02	1.849009e-06
2.604304075337627e-02	1.999264e-06
2.610104075337633e-02	2.094085e-06
2.616904075337639e-02	2.140903e-06
2.625404075337648e-02	2.157290e-06
2.637404075337660e-02	2.188633e-06
2.649304075337672e-02	2.295101e-06
2.660504075337683e-02	2.496685e-06
2.672204075337695e-02	2.830974e-06
2.685004075337707e-02	3.357380e-06
2.699804075337722e-02	4.193174e-06
2.718004075337740e-02	5.575712e-06
2.743704075337766e-02	8.208132e-06
2.762904075337785e-02	1.067067e-05
2.800404075337823e-02	1.649189e-05
2.837904075337860e-02	2.314287e-05
2.865304075337888e-02	2.809514e-05
2.899404075337922e-02	3.383630e-05
2.932404075337955e-02	3.843820e-05
2.964704075337987e-02	4.160095e-05
2.967704075337990e-02	4.181544e-05
2.999604075338022e-02	4.317773e-05
3.031204075338054e-02	4.279369e-05
3.062504075338085e-02	4.071157e-05
3.070104075338093e-02	3.996307e-05
3.101004075338124e-02	3.604077e-05
3.131604075338154e-02	3.098881e-05
3.161704075338184e-02	2.524757e-05
3.172504075338195e-02	2.308143e-05
3.201804075338224e-02	1.715470e-05
3.230404075338253e-02	1.163592e-05
3.258204075338281e-02	6.923902e-06
3.274904075338297e-02	4.558284e-06
