time	V(vdc,COM)*I(RL)
0.000000000000000e+00	0.000000e+00
9.999999960041972e-12	0.000000e+00
1.999999992008394e-11	0.000000e+00
1.404075337086805e-05	9.587314e-14
1.604075337086805e-05	2.372831e-12
1.704075337086805e-05	1.157340e-11
1.804075337086805e-05	5.459640e-11
1.904075337086805e-05	2.417387e-10
2.004075337086805e-05	9.649408e-10
2.104075337086805e-05	3.328040e-09
2.204075337086805e-05	9.661277e-09
2.304075337086805e-05	2.359545e-08
2.404075337086805e-05	4.937859e-08
2.504075337086805e-05	9.102367e-08
2.604075337086805e-05	1.519067e-07
2.704075337086805e-05	2.345476e-07
2.804075337086805e-05	3.407083e-07
3.004075337086805e-05	6.285087e-07
3.304075337086805e-05	1.259787e-06
4.104075337086802e-05	4.160953e-06
5.604075337086798e-05	1.427381e-05
7.504075337086793e-05	3.497224e-05
9.604075337086787e-05	6.643774e-05
1.200407533708678e-04	1.110846e-04
1.480407533708677e-04	1.717064e-04
1.800407533708676e-04	2.482008e-04
2.160407533708675e-04	3.387232e-04
2.560407533708677e-04	4.397917e-04
3.010407533708688e-04	5.489609e-04
3.460407533708699e-04	6.493849e-04
3.900407533708710e-04	7.366992e-04
4.330407533708720e-04	8.104267e-04
4.750407533708730e-04	8.709470e-04
5.150407533708740e-04	9.180897e-04
5.540407533708749e-04	9.545215e-04
5.910407533708758e-04	9.808266e-04
6.270407533708767e-04	9.991890e-04
6.610407533708775e-04	1.010448e-03
6.930407533708783e-04	1.016059e-03
7.220407533708790e-04	1.017296e-03
7.540407533708798e-04	1.014768e-03
7.910407533708807e-04	1.007227e-03
8.330407533708817e-04	9.933441e-04
8.810407533708829e-04	9.715006e-04
9.360407533708842e-04	9.399583e-04
9.990407533708833e-04	8.970788e-04
1.005040753370883e-03	8.926873e-04
1.078040753370877e-03	8.359346e-04
1.163040753370870e-03	7.643607e-04
1.262040753370861e-03	6.775328e-04
1.380040753370851e-03	5.741422e-04
1.523040753370839e-03	4.549941e-04
1.704040753370824e-03	3.208782e-04
1.950040753370803e-03	1.760543e-04
2.029040753370813e-03	1.392182e-04
2.270040753370845e-03	5.519110e-05
2.436040753370867e-03	2.065819e-05
2.546040753370882e-03	7.342455e-06
2.612040753370890e-03	2.730257e-06
2.650040753370895e-03	1.145800e-06
2.673040753370898e-03	5.418436e-07
2.688040753370900e-03	2.817686e-07
2.699040753370902e-03	1.524986e-07
2.707040753370903e-03	8.786668e-08
2.713040753370904e-03	5.373008e-08
2.718040753370904e-03	3.343069e-08
2.723040753370905e-03	1.938330e-08
2.727040753370906e-03	1.182281e-08
2.731040753370906e-03	6.811059e-09
2.734040753370907e-03	4.330323e-09
2.737040753370907e-03	2.661231e-09
2.740040753370907e-03	1.582281e-09
2.743040753370908e-03	9.119171e-10
2.746040753370908e-03	5.108445e-10
2.750040753370909e-03	2.269850e-10
2.754040753370909e-03	9.722539e-11
2.759040753370910e-03	3.235358e-11
2.766040753370911e-03	6.554658e-12
2.777040753370912e-03	4.863181e-13
2.804040753370916e-03	5.868340e-16
2.827040753370919e-03	1.323947e-18
2.845040753370921e-03	8.807144e-21
2.858040753370923e-03	0.000000e+00
2.866040753370924e-03	0.000000e+00
2.869040753370924e-03	0.000000e+00
2.873040753370925e-03	3.228529e-24
2.882040753370926e-03	1.829852e-22
2.897040753370928e-03	4.274951e-20
2.917040753370931e-03	2.248185e-17
2.943040753370934e-03	1.027325e-13
2.953040753370936e-03	2.841471e-12
2.958040753370936e-03	1.494717e-11
2.962040753370937e-03	5.561640e-11
2.965040753370937e-03	1.461718e-10
2.968040753370938e-03	3.734589e-10
2.970040753370938e-03	6.825139e-10
2.972040753370938e-03	1.218917e-09
2.974040753370938e-03	2.118324e-09
2.976040753370939e-03	3.569415e-09
2.978040753370939e-03	5.816735e-09
2.980040753370939e-03	9.155523e-09
2.982040753370939e-03	1.391909e-08
2.984040753370940e-03	2.046173e-08
2.987040753370940e-03	3.439090e-08
2.990040753370941e-03	5.427143e-08
2.994040753370941e-03	9.177563e-08
2.999040753370942e-03	1.590331e-07
3.006040753370943e-03	2.960825e-07
3.017040753370944e-03	6.223069e-07
3.040040753370947e-03	1.766742e-06
3.053040753370949e-03	2.689588e-06
3.105040753370956e-03	8.217420e-06
3.157040753370963e-03	1.625443e-05
3.216040753370971e-03	2.772483e-05
3.285040753370980e-03	4.347176e-05
3.367040753370991e-03	6.442100e-05
3.465040753371004e-03	9.142319e-05
3.582040753371019e-03	1.251347e-04
3.714040753371037e-03	1.639075e-04
3.867040753371057e-03	2.088517e-04
4.052040753371081e-03	2.623611e-04
4.077040753371085e-03	2.694876e-04
4.292040753371113e-03	3.294425e-04
4.499040753371141e-03	3.843675e-04
4.816040753371183e-03	4.612743e-04
5.101040753371221e-03	5.206284e-04
5.447040753371267e-03	5.767604e-04
5.798040753371313e-03	6.124571e-04
6.125040753371357e-03	6.242971e-04
6.478040753371403e-03	6.130697e-04
6.830040753371450e-03	5.779573e-04
7.149040753371493e-03	5.277391e-04
7.499040753371539e-03	4.564256e-04
7.847040753371556e-03	3.739947e-04
8.173040753371316e-03	2.919815e-04
8.334040753371198e-03	2.515299e-04
8.411040753371141e-03	2.324795e-04
8.750040753370892e-03	1.530914e-04
9.083040753370648e-03	8.654941e-05
9.197040753370564e-03	6.733184e-05
9.528040753370321e-03	2.416811e-05
9.758040753370152e-03	6.643528e-06
9.881040753370061e-03	1.797355e-06
9.933040753370023e-03	7.023786e-07
9.962040753370002e-03	3.278852e-07
9.981040753369988e-03	1.680463e-07
9.994040753369978e-03	9.422175e-08
1.000404075336997e-02	5.492574e-08
1.001204075336997e-02	3.302611e-08
1.001904075336996e-02	1.975735e-08
1.002504075336996e-02	1.198773e-08
1.003004075336995e-02	7.547603e-09
1.003504075336995e-02	4.544309e-09
1.004004075336994e-02	2.613789e-09
1.004504075336994e-02	1.437208e-09
1.005004075336994e-02	7.573278e-10
1.005504075336993e-02	3.839153e-10
1.006104075336993e-02	1.624995e-10
1.006804075336992e-02	5.663618e-11
1.007704075336992e-02	1.370801e-11
1.009004075336991e-02	1.605833e-12
1.011704075336989e-02	1.429987e-14
1.014704075336987e-02	5.247846e-17
1.017204075336985e-02	3.400606e-19
1.019204075336983e-02	4.966861e-21
1.020704075336982e-02	2.275068e-22
1.021704075336981e-02	0.000000e+00
1.022104075336981e-02	0.000000e+00
1.022504075336981e-02	0.000000e+00
1.023404075336980e-02	0.000000e+00
1.024904075336979e-02	4.871598e-21
1.027004075336978e-02	8.568246e-19
1.029704075336976e-02	6.687917e-16
1.032404075336974e-02	6.994115e-13
1.033304075336973e-02	7.399260e-12
1.033904075336972e-02	3.537919e-11
1.034304075336972e-02	9.884337e-11
1.034604075336972e-02	2.102528e-10
1.034904075336972e-02	4.382416e-10
1.035204075336972e-02	8.886636e-10
1.035504075336971e-02	1.740115e-09
1.035804075336971e-02	3.268237e-09
1.036104075336971e-02	5.858802e-09
1.036404075336971e-02	1.000026e-08
1.036704075336970e-02	1.625507e-08
1.037004075336970e-02	2.521857e-08
1.037404075336970e-02	4.239426e-08
1.037904075336970e-02	7.402827e-08
1.038504075336969e-02	1.295786e-07
1.039304075336969e-02	2.377076e-07
1.040504075336968e-02	4.803888e-07
1.042904075336966e-02	1.272603e-06
1.048204075336962e-02	4.423704e-06
1.053504075336958e-02	9.235843e-06
1.059404075336954e-02	1.611814e-05
1.066304075336949e-02	2.568303e-05
1.074604075336943e-02	3.870956e-05
1.084704075336935e-02	5.604036e-05
1.096504075336927e-02	7.759699e-05
1.110004075336917e-02	1.034035e-04
1.124504075336906e-02	1.321656e-04
1.144604075336891e-02	1.736567e-04
1.174804075336869e-02	2.394124e-04
1.212304075336841e-02	3.256570e-04
1.226904075336831e-02	3.599494e-04
1.264404075336803e-02	4.470603e-04
1.301904075336776e-02	5.278928e-04
1.329304075336755e-02	5.792884e-04
1.366804075336728e-02	6.343698e-04
1.404304075336700e-02	6.672707e-04
1.431704075336680e-02	6.752465e-04
1.469004075336653e-02	6.630314e-04
1.505904075336626e-02	6.251904e-04
1.534104075336605e-02	5.804705e-04
1.570404075336592e-02	5.061151e-04
1.606404075336628e-02	4.188235e-04
1.636504075336658e-02	3.402664e-04
1.666604075336688e-02	2.611788e-04
1.675104075336697e-02	2.393574e-04
1.709804075336731e-02	1.555557e-04
1.738904075336761e-02	9.523359e-05
1.772704075336794e-02	4.133021e-05
1.802604075336824e-02	1.141383e-05
1.818404075336840e-02	3.107982e-06
1.825704075336847e-02	1.075911e-06
1.829404075336851e-02	4.713190e-07
1.831704075336853e-02	2.316705e-07
1.833304075336855e-02	1.216411e-07
1.834404075336856e-02	7.024259e-08
1.835304075336857e-02	4.107717e-08
1.836004075336858e-02	2.528362e-08
1.836604075336858e-02	1.576954e-08
1.837204075336859e-02	9.276030e-09
1.837704075336859e-02	5.678670e-09
1.838204075336860e-02	3.320192e-09
1.838704075336860e-02	1.853941e-09
1.839204075336861e-02	9.904012e-10
1.839704075336861e-02	5.079150e-10
1.840304075336862e-02	2.173343e-10
1.840904075336863e-02	8.900509e-11
1.841304075336863e-02	4.809183e-11
1.842204075336864e-02	1.146787e-11
1.843604075336865e-02	1.111308e-12
1.846804075336868e-02	3.754808e-15
1.849604075336871e-02	1.824503e-17
1.852004075336874e-02	1.414878e-19
1.853904075336876e-02	2.161958e-21
1.855304075336877e-02	0.000000e+00
1.856104075336878e-02	1.562014e-24
1.856504075336878e-02	0.000000e+00
1.857104075336879e-02	0.000000e+00
1.858204075336880e-02	2.017089e-22
1.859904075336882e-02	2.293131e-20
1.862204075336884e-02	7.307252e-18
1.865104075336887e-02	1.114768e-14
1.866904075336889e-02	1.214860e-12
1.867704075336889e-02	9.961534e-12
1.868204075336890e-02	3.680089e-11
1.868604075336890e-02	1.030877e-10
1.868904075336891e-02	2.196115e-10
1.869204075336891e-02	4.581889e-10
1.869504075336891e-02	9.294054e-10
1.869804075336891e-02	1.819170e-09
1.870104075336892e-02	3.413036e-09
1.870404075336892e-02	6.108322e-09
1.870704075336892e-02	1.040497e-08
1.871004075336893e-02	1.687497e-08
1.871304075336893e-02	2.612039e-08
1.871704075336893e-02	4.378161e-08
1.872204075336894e-02	7.620053e-08
1.872804075336894e-02	1.329449e-07
1.873604075336895e-02	2.430634e-07
1.874804075336896e-02	4.894938e-07
1.877304075336899e-02	1.333989e-06
1.882704075336904e-02	4.628600e-06
1.888004075336910e-02	9.537123e-06
1.894004075336916e-02	1.665033e-05
1.901004075336923e-02	2.649636e-05
1.909404075336931e-02	3.984804e-05
1.919604075336941e-02	5.754171e-05
1.931404075336953e-02	7.929837e-05
1.943704075336965e-02	1.029608e-04
1.959604075336981e-02	1.346913e-04
1.980004075337002e-02	1.771088e-04
2.011004075337033e-02	2.450795e-04
2.046104075337068e-02	3.260939e-04
2.083604075337105e-02	4.140595e-04
2.121104075337143e-02	4.980841e-04
2.148504075337170e-02	5.533375e-04
2.186004075337208e-02	6.155979e-04
2.223504075337245e-02	6.574202e-04
2.250904075337273e-02	6.726252e-04
2.288404075337310e-02	6.705015e-04
2.325504075337347e-02	6.419778e-04
2.353304075337375e-02	6.043252e-04
2.389704075337411e-02	5.367063e-04
2.425804075337448e-02	4.537209e-04
2.455704075337477e-02	3.774187e-04
2.491104075337513e-02	2.841354e-04
2.500004075337522e-02	2.609627e-04
2.503404075337525e-02	2.521939e-04
2.535704075337557e-02	1.725750e-04
2.558104075337580e-02	1.231197e-04
2.592004075337614e-02	6.131233e-05
2.626804075337649e-02	1.862270e-05
2.646904075337669e-02	5.078078e-06
2.657104075337679e-02	1.502832e-06
2.660504075337682e-02	8.020240e-07
2.663604075337685e-02	3.686543e-07
2.665604075337687e-02	1.872701e-07
2.667004075337689e-02	1.021910e-07
2.668104075337690e-02	5.688923e-08
2.668904075337691e-02	3.428909e-08
2.669604075337691e-02	2.055798e-08
2.670204075337692e-02	1.249603e-08
2.670704075337692e-02	7.877898e-09
2.671204075337693e-02	4.747840e-09
2.671704075337693e-02	2.732248e-09
2.672204075337694e-02	1.502228e-09
2.672704075337694e-02	7.909991e-10
2.673204075337695e-02	4.004159e-10
2.673804075337696e-02	1.690586e-10
2.674504075337696e-02	5.869686e-11
2.675404075337697e-02	1.412240e-11
2.676704075337698e-02	1.638457e-12
2.679404075337701e-02	1.426319e-14
2.682304075337704e-02	6.182382e-17
2.684804075337707e-02	4.285205e-19
2.686804075337709e-02	5.362109e-21
2.688304075337710e-02	0.000000e+00
2.689304075337711e-02	0.000000e+00
2.689804075337712e-02	0.000000e+00
2.690304075337712e-02	3.269617e-24
2.691304075337713e-02	1.404632e-22
2.692904075337715e-02	1.270970e-20
2.695104075337717e-02	2.569254e-18
2.697904075337720e-02	2.867433e-15
2.700104075337722e-02	8.658714e-13
2.701004075337723e-02	9.232636e-12
2.701504075337723e-02	3.413596e-11
2.701904075337724e-02	9.575189e-11
2.702204075337724e-02	2.043205e-10
2.702504075337724e-02	4.272692e-10
2.702804075337725e-02	8.693273e-10
2.703104075337725e-02	1.707964e-09
2.703404075337725e-02	3.218294e-09
2.703704075337725e-02	5.786861e-09
2.704004075337726e-02	9.904692e-09
2.704304075337726e-02	1.613856e-08
2.704604075337726e-02	2.508949e-08
2.705004075337727e-02	4.227202e-08
2.705404075337727e-02	6.662823e-08
2.706004075337728e-02	1.189697e-07
2.706804075337729e-02	2.224796e-07
2.707904075337730e-02	4.346403e-07
2.710004075337732e-02	1.079086e-06
2.714904075337737e-02	3.784503e-06
2.720204075337742e-02	8.370646e-06
2.726004075337748e-02	1.495369e-05
2.732704075337754e-02	2.408233e-05
2.740704075337762e-02	3.650038e-05
2.750404075337772e-02	5.303702e-05
2.761904075337784e-02	7.398319e-05
2.762904075337785e-02	7.585493e-05
2.776204075337798e-02	1.013370e-04
2.792004075337814e-02	1.328009e-04
2.812104075337834e-02	1.744951e-04
2.842204075337864e-02	2.402797e-04
2.865304075337887e-02	2.931011e-04
2.902804075337925e-02	3.810459e-04
2.940304075337962e-02	4.672780e-04
2.967704075337989e-02	5.256809e-04
3.005204075338027e-02	5.942604e-04
3.042704075338065e-02	6.443582e-04
3.070104075338092e-02	6.664975e-04
3.107604075338129e-02	6.744769e-04
3.144804075338167e-02	6.557980e-04
3.172504075338194e-02	6.251190e-04
3.209104075338231e-02	5.647993e-04
3.245304075338267e-02	4.870213e-04
3.274904075338297e-02	4.140590e-04
3.310504075338332e-02	3.208244e-04
3.333304075338355e-02	2.610491e-04
3.341804075338364e-02	2.392328e-04
3.376504075338398e-02	1.554541e-04
3.377304075338399e-02	1.536551e-04
3.411404075338433e-02	8.455540e-05
3.445204075338467e-02	3.408831e-05
3.472304075338494e-02	9.401754e-06
3.479704075338502e-02	5.326461e-06
3.490304075338512e-02	1.535250e-06
3.494904075338517e-02	6.312724e-07
3.497604075338519e-02	2.999822e-07
3.499404075338521e-02	1.552752e-07
3.500704075338523e-02	8.511681e-08
3.501704075338524e-02	4.846117e-08
